jjSASKSQSJ	(2) royal straight flush!
jjSASQSJCA	(6) 3 cards
jjSASQSJCK	(5) straight!
jjSASQSJCQ	(6) 3 cards
jjSASQSJCJ	(6) 3 cards
jjSASQSJDA	(6) 3 cards
jjSASQSJDK	(5) straight!
jjSASQSJDQ	(6) 3 cards
jjSASQSJDJ	(6) 3 cards
jjSASQHAHK	(6) 3 cards
jjSASQHAHQ	(4) full house
jjSASQHAHJ	(6) 3 cards
jjSASQHACA	(6) 3 cards
jjSASQHACK	(6) 3 cards
jjSASQHACQ	(4) full house
jjSASQHACJ	(6) 3 cards
jjSASQHADA	(6) 3 cards
jjSASQHADK	(6) 3 cards
jjSASQHADQ	(4) full house
jjSASQHADJ	(6) 3 cards
jjSASQHKHQ	(6) 3 cards
jjSASQHKHJ	(5) straight!
jjSASQHKCA	(6) 3 cards
jjSASQHKCK	(6) 3 cards
jjSASQHKCQ	(6) 3 cards
jjSASQHKCJ	(5) straight!
jjSASQHKDA	(6) 3 cards
jjSASQHKDK	(6) 3 cards
jjSASQHKDQ	(6) 3 cards
jjSASQHKDJ	(5) straight!
jjSASQHQHJ	(6) 3 cards
jjSASQHQCA	(4) full house
jjSASQHQCK	(6) 3 cards
jjSASQHQCQ	(6) 3 cards
jjSASQHQCJ	(6) 3 cards
jjSASQHQDA	(4) full house
jjSASQHQDK	(6) 3 cards
jjSASQHQDQ	(6) 3 cards
jjSASQHQDJ	(6) 3 cards
jjSASQHJCA	(6) 3 cards
jjSASQHJCK	(5) straight!
jjSASQHJCQ	(6) 3 cards
jjSASQHJCJ	(6) 3 cards
jjSASQHJDA	(6) 3 cards
jjSASQHJDK	(5) straight!
jjSASQHJDQ	(6) 3 cards
jjSASQHJDJ	(6) 3 cards
jjSASQCACK	(6) 3 cards
jjSASQCACQ	(4) full house
jjSASQCACJ	(6) 3 cards
jjSASQCADA	(6) 3 cards
jjSASQCADK	(6) 3 cards
jjSASQCADQ	(4) full house
jjSASQCADJ	(6) 3 cards
jjSASQCKCQ	(6) 3 cards
jjSASQCKCJ	(5) straight!
jjSASQCKDA	(6) 3 cards
jjSASQCKDK	(6) 3 cards
jjSASQCKDQ	(6) 3 cards
jjSASQCKDJ	(5) straight!
jjSASQCQCJ	(6) 3 cards
jjSASQCQDA	(4) full house
jjSASQCQDK	(6) 3 cards
jjSASQCQDQ	(6) 3 cards
jjSASQCQDJ	(6) 3 cards
jjSASQCJDA	(6) 3 cards
jjSASQCJDK	(5) straight!
jjSASQCJDQ	(6) 3 cards
jjSASQCJDJ	(6) 3 cards
jjSASQDADK	(6) 3 cards
jjSASQDADQ	(4) full house
jjSASQDADJ	(6) 3 cards
jjSASQDKDQ	(6) 3 cards
jjSASQDKDJ	(5) straight!
jjSASQDQDJ	(6) 3 cards
jjSASJHAHK	(6) 3 cards
jjSASJHAHQ	(6) 3 cards
jjSASJHAHJ	(4) full house
jjSASJHACA	(6) 3 cards
jjSASJHACK	(6) 3 cards
jjSASJHACQ	(6) 3 cards
jjSASJHACJ	(4) full house
jjSASJHADA	(6) 3 cards
jjSASJHADK	(6) 3 cards
jjSASJHADQ	(6) 3 cards
jjSASJHADJ	(4) full house
jjSASJHKHQ	(5) straight!
jjSASJHKHJ	(6) 3 cards
jjSASJHKCA	(6) 3 cards
jjSASJHKCK	(6) 3 cards
jjSASJHKCQ	(5) straight!
jjSASJHKCJ	(6) 3 cards
jjSASJHKDA	(6) 3 cards
jjSASJHKDK	(6) 3 cards
jjSASJHKDQ	(5) straight!
jjSASJHKDJ	(6) 3 cards
jjSASJHQHJ	(6) 3 cards
jjSASJHQCA	(6) 3 cards
jjSASJHQCK	(5) straight!
jjSASJHQCQ	(6) 3 cards
jjSASJHQCJ	(6) 3 cards
jjSASJHQDA	(6) 3 cards
jjSASJHQDK	(5) straight!
jjSASJHQDQ	(6) 3 cards
jjSASJHQDJ	(6) 3 cards
jjSASJHJCA	(4) full house
jjSASJHJCK	(6) 3 cards
jjSASJHJCQ	(6) 3 cards
jjSASJHJCJ	(6) 3 cards
jjSASJHJDA	(4) full house
jjSASJHJDK	(6) 3 cards
jjSASJHJDQ	(6) 3 cards
jjSASJHJDJ	(6) 3 cards
jjSASJCACK	(6) 3 cards
jjSASJCACQ	(6) 3 cards
jjSASJCACJ	(4) full house
jjSASJCADA	(6) 3 cards
jjSASJCADK	(6) 3 cards
jjSASJCADQ	(6) 3 cards
jjSASJCADJ	(4) full house
jjSASJCKCQ	(5) straight!
jjSASJCKCJ	(6) 3 cards
jjSASJCKDA	(6) 3 cards
jjSASJCKDK	(6) 3 cards
jjSASJCKDQ	(5) straight!
jjSASJCKDJ	(6) 3 cards
jjSASJCQCJ	(6) 3 cards
jjSASJCQDA	(6) 3 cards
jjSASJCQDK	(5) straight!
jjSASJCQDQ	(6) 3 cards
jjSASJCQDJ	(6) 3 cards
jjSASJCJDA	(4) full house
jjSASJCJDK	(6) 3 cards
jjSASJCJDQ	(6) 3 cards
jjSASJCJDJ	(6) 3 cards
jjSASJDADK	(6) 3 cards
jjSASJDADQ	(6) 3 cards
jjSASJDADJ	(4) full house
jjSASJDKDQ	(5) straight!
jjSASJDKDJ	(6) 3 cards
jjSASJDQDJ	(6) 3 cards
jjSAHAHKHQ	(6) 3 cards
jjSAHAHKHJ	(6) 3 cards
jjSAHAHKCA	(6) 3 cards
jjSAHAHKCK	(4) full house
jjSAHAHKCQ	(6) 3 cards
jjSAHAHKCJ	(6) 3 cards
jjSAHAHKDA	(6) 3 cards
jjSAHAHKDK	(4) full house
jjSAHAHKDQ	(6) 3 cards
jjSAHAHKDJ	(6) 3 cards
jjSAHAHQHJ	(6) 3 cards
jjSAHAHQCA	(6) 3 cards
jjSAHAHQCK	(6) 3 cards
jjSAHAHQCQ	(4) full house
jjSAHAHQCJ	(6) 3 cards
jjSAHAHQDA	(6) 3 cards
jjSAHAHQDK	(6) 3 cards
jjSAHAHQDQ	(4) full house
jjSAHAHQDJ	(6) 3 cards
jjSAHAHJCA	(6) 3 cards
jjSAHAHJCK	(6) 3 cards
jjSAHAHJCQ	(6) 3 cards
jjSAHAHJCJ	(4) full house
jjSAHAHJDA	(6) 3 cards
jjSAHAHJDK	(6) 3 cards
jjSAHAHJDQ	(6) 3 cards
jjSAHAHJDJ	(4) full house
jjSAHACACK	(6) 3 cards
jjSAHACACQ	(6) 3 cards
jjSAHACACJ	(6) 3 cards
jjSAHACADA	(1) 5 cards!
jjSAHACADK	(6) 3 cards
jjSAHACADQ	(6) 3 cards
jjSAHACADJ	(6) 3 cards
jjSAHACKCQ	(6) 3 cards
jjSAHACKCJ	(6) 3 cards
jjSAHACKDA	(6) 3 cards
jjSAHACKDK	(4) full house
jjSAHACKDQ	(6) 3 cards
jjSAHACKDJ	(6) 3 cards
jjSAHACQCJ	(6) 3 cards
jjSAHACQDA	(6) 3 cards
jjSAHACQDK	(6) 3 cards
jjSAHACQDQ	(4) full house
jjSAHACQDJ	(6) 3 cards
jjSAHACJDA	(6) 3 cards
jjSAHACJDK	(6) 3 cards
jjSAHACJDQ	(6) 3 cards
jjSAHACJDJ	(4) full house
jjSAHADADK	(6) 3 cards
jjSAHADADQ	(6) 3 cards
jjSAHADADJ	(6) 3 cards
jjSAHADKDQ	(6) 3 cards
jjSAHADKDJ	(6) 3 cards
jjSAHADQDJ	(6) 3 cards
jjSAHKHQHJ	(5) straight!
jjSAHKHQCA	(6) 3 cards
jjSAHKHQCK	(6) 3 cards
jjSAHKHQCQ	(6) 3 cards
jjSAHKHQCJ	(5) straight!
jjSAHKHQDA	(6) 3 cards
jjSAHKHQDK	(6) 3 cards
jjSAHKHQDQ	(6) 3 cards
jjSAHKHQDJ	(5) straight!
jjSAHKHJCA	(6) 3 cards
jjSAHKHJCK	(6) 3 cards
jjSAHKHJCQ	(5) straight!
jjSAHKHJCJ	(6) 3 cards
jjSAHKHJDA	(6) 3 cards
jjSAHKHJDK	(6) 3 cards
jjSAHKHJDQ	(5) straight!
jjSAHKHJDJ	(6) 3 cards
jjSAHKCACK	(4) full house
jjSAHKCACQ	(6) 3 cards
jjSAHKCACJ	(6) 3 cards
jjSAHKCADA	(6) 3 cards
jjSAHKCADK	(4) full house
jjSAHKCADQ	(6) 3 cards
jjSAHKCADJ	(6) 3 cards
jjSAHKCKCQ	(6) 3 cards
jjSAHKCKCJ	(6) 3 cards
jjSAHKCKDA	(4) full house
jjSAHKCKDK	(6) 3 cards
jjSAHKCKDQ	(6) 3 cards
jjSAHKCKDJ	(6) 3 cards
jjSAHKCQCJ	(5) straight!
jjSAHKCQDA	(6) 3 cards
jjSAHKCQDK	(6) 3 cards
jjSAHKCQDQ	(6) 3 cards
jjSAHKCQDJ	(5) straight!
jjSAHKCJDA	(6) 3 cards
jjSAHKCJDK	(6) 3 cards
jjSAHKCJDQ	(5) straight!
jjSAHKCJDJ	(6) 3 cards
jjSAHKDADK	(4) full house
jjSAHKDADQ	(6) 3 cards
jjSAHKDADJ	(6) 3 cards
jjSAHKDKDQ	(6) 3 cards
jjSAHKDKDJ	(6) 3 cards
jjSAHKDQDJ	(5) straight!
jjSAHQHJCA	(6) 3 cards
jjSAHQHJCK	(5) straight!
jjSAHQHJCQ	(6) 3 cards
jjSAHQHJCJ	(6) 3 cards
jjSAHQHJDA	(6) 3 cards
jjSAHQHJDK	(5) straight!
jjSAHQHJDQ	(6) 3 cards
jjSAHQHJDJ	(6) 3 cards
jjSAHQCACK	(6) 3 cards
jjSAHQCACQ	(4) full house
jjSAHQCACJ	(6) 3 cards
jjSAHQCADA	(6) 3 cards
jjSAHQCADK	(6) 3 cards
jjSAHQCADQ	(4) full house
jjSAHQCADJ	(6) 3 cards
jjSAHQCKCQ	(6) 3 cards
jjSAHQCKCJ	(5) straight!
jjSAHQCKDA	(6) 3 cards
jjSAHQCKDK	(6) 3 cards
jjSAHQCKDQ	(6) 3 cards
jjSAHQCKDJ	(5) straight!
jjSAHQCQCJ	(6) 3 cards
jjSAHQCQDA	(4) full house
jjSAHQCQDK	(6) 3 cards
jjSAHQCQDQ	(6) 3 cards
jjSAHQCQDJ	(6) 3 cards
jjSAHQCJDA	(6) 3 cards
jjSAHQCJDK	(5) straight!
jjSAHQCJDQ	(6) 3 cards
jjSAHQCJDJ	(6) 3 cards
jjSAHQDADK	(6) 3 cards
jjSAHQDADQ	(4) full house
jjSAHQDADJ	(6) 3 cards
jjSAHQDKDQ	(6) 3 cards
jjSAHQDKDJ	(5) straight!
jjSAHQDQDJ	(6) 3 cards
jjSAHJCACK	(6) 3 cards
jjSAHJCACQ	(6) 3 cards
jjSAHJCACJ	(4) full house
jjSAHJCADA	(6) 3 cards
jjSAHJCADK	(6) 3 cards
jjSAHJCADQ	(6) 3 cards
jjSAHJCADJ	(4) full house
jjSAHJCKCQ	(5) straight!
jjSAHJCKCJ	(6) 3 cards
jjSAHJCKDA	(6) 3 cards
jjSAHJCKDK	(6) 3 cards
jjSAHJCKDQ	(5) straight!
jjSAHJCKDJ	(6) 3 cards
jjSAHJCQCJ	(6) 3 cards
jjSAHJCQDA	(6) 3 cards
jjSAHJCQDK	(5) straight!
jjSAHJCQDQ	(6) 3 cards
jjSAHJCQDJ	(6) 3 cards
jjSAHJCJDA	(4) full house
jjSAHJCJDK	(6) 3 cards
jjSAHJCJDQ	(6) 3 cards
jjSAHJCJDJ	(6) 3 cards
jjSAHJDADK	(6) 3 cards
jjSAHJDADQ	(6) 3 cards
jjSAHJDADJ	(4) full house
jjSAHJDKDQ	(5) straight!
jjSAHJDKDJ	(6) 3 cards
jjSAHJDQDJ	(6) 3 cards
jjSACACKCQ	(6) 3 cards
jjSACACKCJ	(6) 3 cards
jjSACACKDA	(6) 3 cards
jjSACACKDK	(4) full house
jjSACACKDQ	(6) 3 cards
jjSACACKDJ	(6) 3 cards
jjSACACQCJ	(6) 3 cards
jjSACACQDA	(6) 3 cards
jjSACACQDK	(6) 3 cards
jjSACACQDQ	(4) full house
jjSACACQDJ	(6) 3 cards
jjSACACJDA	(6) 3 cards
jjSACACJDK	(6) 3 cards
jjSACACJDQ	(6) 3 cards
jjSACACJDJ	(4) full house
jjSACADADK	(6) 3 cards
jjSACADADQ	(6) 3 cards
jjSACADADJ	(6) 3 cards
jjSACADKDQ	(6) 3 cards
jjSACADKDJ	(6) 3 cards
jjSACADQDJ	(6) 3 cards
jjSACKCQCJ	(5) straight!
jjSACKCQDA	(6) 3 cards
jjSACKCQDK	(6) 3 cards
jjSACKCQDQ	(6) 3 cards
jjSACKCQDJ	(5) straight!
jjSACKCJDA	(6) 3 cards
jjSACKCJDK	(6) 3 cards
jjSACKCJDQ	(5) straight!
jjSACKCJDJ	(6) 3 cards
jjSACKDADK	(4) full house
jjSACKDADQ	(6) 3 cards
jjSACKDADJ	(6) 3 cards
jjSACKDKDQ	(6) 3 cards
jjSACKDKDJ	(6) 3 cards
jjSACKDQDJ	(5) straight!
jjSACQCJDA	(6) 3 cards
jjSACQCJDK	(5) straight!
jjSACQCJDQ	(6) 3 cards
jjSACQCJDJ	(6) 3 cards
jjSACQDADK	(6) 3 cards
jjSACQDADQ	(4) full house
jjSACQDADJ	(6) 3 cards
jjSACQDKDQ	(6) 3 cards
jjSACQDKDJ	(5) straight!
jjSACQDQDJ	(6) 3 cards
jjSACJDADK	(6) 3 cards
jjSACJDADQ	(6) 3 cards
jjSACJDADJ	(4) full house
jjSACJDKDQ	(5) straight!
jjSACJDKDJ	(6) 3 cards
jjSACJDQDJ	(6) 3 cards
jjSADADKDQ	(6) 3 cards
jjSADADKDJ	(6) 3 cards
jjSADADQDJ	(6) 3 cards
jjSADKDQDJ	(5) straight!
jjSKSQSJHA	(5) straight!
jjSKSQSJHK	(6) 3 cards
jjSKSQSJHQ	(6) 3 cards
jjSKSQSJHJ	(6) 3 cards
jjSKSQSJCA	(5) straight!
jjSKSQSJCK	(6) 3 cards
jjSKSQSJCQ	(6) 3 cards
jjSKSQSJCJ	(6) 3 cards
jjSKSQSJDA	(5) straight!
jjSKSQSJDK	(6) 3 cards
jjSKSQSJDQ	(6) 3 cards
jjSKSQSJDJ	(6) 3 cards
jjSKSQHAHK	(6) 3 cards
jjSKSQHAHQ	(6) 3 cards
jjSKSQHAHJ	(5) straight!
jjSKSQHACA	(6) 3 cards
jjSKSQHACK	(6) 3 cards
jjSKSQHACQ	(6) 3 cards
jjSKSQHACJ	(5) straight!
jjSKSQHADA	(6) 3 cards
jjSKSQHADK	(6) 3 cards
jjSKSQHADQ	(6) 3 cards
jjSKSQHADJ	(5) straight!
jjSKSQHKHQ	(4) full house
jjSKSQHKHJ	(6) 3 cards
jjSKSQHKCA	(6) 3 cards
jjSKSQHKCK	(6) 3 cards
jjSKSQHKCQ	(4) full house
jjSKSQHKCJ	(6) 3 cards
jjSKSQHKDA	(6) 3 cards
jjSKSQHKDK	(6) 3 cards
jjSKSQHKDQ	(4) full house
jjSKSQHKDJ	(6) 3 cards
jjSKSQHQHJ	(6) 3 cards
jjSKSQHQCA	(6) 3 cards
jjSKSQHQCK	(4) full house
jjSKSQHQCQ	(6) 3 cards
jjSKSQHQCJ	(6) 3 cards
jjSKSQHQDA	(6) 3 cards
jjSKSQHQDK	(4) full house
jjSKSQHQDQ	(6) 3 cards
jjSKSQHQDJ	(6) 3 cards
jjSKSQHJCA	(5) straight!
jjSKSQHJCK	(6) 3 cards
jjSKSQHJCQ	(6) 3 cards
jjSKSQHJCJ	(6) 3 cards
jjSKSQHJDA	(5) straight!
jjSKSQHJDK	(6) 3 cards
jjSKSQHJDQ	(6) 3 cards
jjSKSQHJDJ	(6) 3 cards
jjSKSQCACK	(6) 3 cards
jjSKSQCACQ	(6) 3 cards
jjSKSQCACJ	(5) straight!
jjSKSQCADA	(6) 3 cards
jjSKSQCADK	(6) 3 cards
jjSKSQCADQ	(6) 3 cards
jjSKSQCADJ	(5) straight!
jjSKSQCKCQ	(4) full house
jjSKSQCKCJ	(6) 3 cards
jjSKSQCKDA	(6) 3 cards
jjSKSQCKDK	(6) 3 cards
jjSKSQCKDQ	(4) full house
jjSKSQCKDJ	(6) 3 cards
jjSKSQCQCJ	(6) 3 cards
jjSKSQCQDA	(6) 3 cards
jjSKSQCQDK	(4) full house
jjSKSQCQDQ	(6) 3 cards
jjSKSQCQDJ	(6) 3 cards
jjSKSQCJDA	(5) straight!
jjSKSQCJDK	(6) 3 cards
jjSKSQCJDQ	(6) 3 cards
jjSKSQCJDJ	(6) 3 cards
jjSKSQDADK	(6) 3 cards
jjSKSQDADQ	(6) 3 cards
jjSKSQDADJ	(5) straight!
jjSKSQDKDQ	(4) full house
jjSKSQDKDJ	(6) 3 cards
jjSKSQDQDJ	(6) 3 cards
jjSKSJHAHK	(6) 3 cards
jjSKSJHAHQ	(5) straight!
jjSKSJHAHJ	(6) 3 cards
jjSKSJHACA	(6) 3 cards
jjSKSJHACK	(6) 3 cards
jjSKSJHACQ	(5) straight!
jjSKSJHACJ	(6) 3 cards
jjSKSJHADA	(6) 3 cards
jjSKSJHADK	(6) 3 cards
jjSKSJHADQ	(5) straight!
jjSKSJHADJ	(6) 3 cards
jjSKSJHKHQ	(6) 3 cards
jjSKSJHKHJ	(4) full house
jjSKSJHKCA	(6) 3 cards
jjSKSJHKCK	(6) 3 cards
jjSKSJHKCQ	(6) 3 cards
jjSKSJHKCJ	(4) full house
jjSKSJHKDA	(6) 3 cards
jjSKSJHKDK	(6) 3 cards
jjSKSJHKDQ	(6) 3 cards
jjSKSJHKDJ	(4) full house
jjSKSJHQHJ	(6) 3 cards
jjSKSJHQCA	(5) straight!
jjSKSJHQCK	(6) 3 cards
jjSKSJHQCQ	(6) 3 cards
jjSKSJHQCJ	(6) 3 cards
jjSKSJHQDA	(5) straight!
jjSKSJHQDK	(6) 3 cards
jjSKSJHQDQ	(6) 3 cards
jjSKSJHQDJ	(6) 3 cards
jjSKSJHJCA	(6) 3 cards
jjSKSJHJCK	(4) full house
jjSKSJHJCQ	(6) 3 cards
jjSKSJHJCJ	(6) 3 cards
jjSKSJHJDA	(6) 3 cards
jjSKSJHJDK	(4) full house
jjSKSJHJDQ	(6) 3 cards
jjSKSJHJDJ	(6) 3 cards
jjSKSJCACK	(6) 3 cards
jjSKSJCACQ	(5) straight!
jjSKSJCACJ	(6) 3 cards
jjSKSJCADA	(6) 3 cards
jjSKSJCADK	(6) 3 cards
jjSKSJCADQ	(5) straight!
jjSKSJCADJ	(6) 3 cards
jjSKSJCKCQ	(6) 3 cards
jjSKSJCKCJ	(4) full house
jjSKSJCKDA	(6) 3 cards
jjSKSJCKDK	(6) 3 cards
jjSKSJCKDQ	(6) 3 cards
jjSKSJCKDJ	(4) full house
jjSKSJCQCJ	(6) 3 cards
jjSKSJCQDA	(5) straight!
jjSKSJCQDK	(6) 3 cards
jjSKSJCQDQ	(6) 3 cards
jjSKSJCQDJ	(6) 3 cards
jjSKSJCJDA	(6) 3 cards
jjSKSJCJDK	(4) full house
jjSKSJCJDQ	(6) 3 cards
jjSKSJCJDJ	(6) 3 cards
jjSKSJDADK	(6) 3 cards
jjSKSJDADQ	(5) straight!
jjSKSJDADJ	(6) 3 cards
jjSKSJDKDQ	(6) 3 cards
jjSKSJDKDJ	(4) full house
jjSKSJDQDJ	(6) 3 cards
jjSKHAHKHQ	(6) 3 cards
jjSKHAHKHJ	(6) 3 cards
jjSKHAHKCA	(4) full house
jjSKHAHKCK	(6) 3 cards
jjSKHAHKCQ	(6) 3 cards
jjSKHAHKCJ	(6) 3 cards
jjSKHAHKDA	(4) full house
jjSKHAHKDK	(6) 3 cards
jjSKHAHKDQ	(6) 3 cards
jjSKHAHKDJ	(6) 3 cards
jjSKHAHQHJ	(5) straight!
jjSKHAHQCA	(6) 3 cards
jjSKHAHQCK	(6) 3 cards
jjSKHAHQCQ	(6) 3 cards
jjSKHAHQCJ	(5) straight!
jjSKHAHQDA	(6) 3 cards
jjSKHAHQDK	(6) 3 cards
jjSKHAHQDQ	(6) 3 cards
jjSKHAHQDJ	(5) straight!
jjSKHAHJCA	(6) 3 cards
jjSKHAHJCK	(6) 3 cards
jjSKHAHJCQ	(5) straight!
jjSKHAHJCJ	(6) 3 cards
jjSKHAHJDA	(6) 3 cards
jjSKHAHJDK	(6) 3 cards
jjSKHAHJDQ	(5) straight!
jjSKHAHJDJ	(6) 3 cards
jjSKHACACK	(4) full house
jjSKHACACQ	(6) 3 cards
jjSKHACACJ	(6) 3 cards
jjSKHACADA	(6) 3 cards
jjSKHACADK	(4) full house
jjSKHACADQ	(6) 3 cards
jjSKHACADJ	(6) 3 cards
jjSKHACKCQ	(6) 3 cards
jjSKHACKCJ	(6) 3 cards
jjSKHACKDA	(4) full house
jjSKHACKDK	(6) 3 cards
jjSKHACKDQ	(6) 3 cards
jjSKHACKDJ	(6) 3 cards
jjSKHACQCJ	(5) straight!
jjSKHACQDA	(6) 3 cards
jjSKHACQDK	(6) 3 cards
jjSKHACQDQ	(6) 3 cards
jjSKHACQDJ	(5) straight!
jjSKHACJDA	(6) 3 cards
jjSKHACJDK	(6) 3 cards
jjSKHACJDQ	(5) straight!
jjSKHACJDJ	(6) 3 cards
jjSKHADADK	(4) full house
jjSKHADADQ	(6) 3 cards
jjSKHADADJ	(6) 3 cards
jjSKHADKDQ	(6) 3 cards
jjSKHADKDJ	(6) 3 cards
jjSKHADQDJ	(5) straight!
jjSKHKHQHJ	(6) 3 cards
jjSKHKHQCA	(6) 3 cards
jjSKHKHQCK	(6) 3 cards
jjSKHKHQCQ	(4) full house
jjSKHKHQCJ	(6) 3 cards
jjSKHKHQDA	(6) 3 cards
jjSKHKHQDK	(6) 3 cards
jjSKHKHQDQ	(4) full house
jjSKHKHQDJ	(6) 3 cards
jjSKHKHJCA	(6) 3 cards
jjSKHKHJCK	(6) 3 cards
jjSKHKHJCQ	(6) 3 cards
jjSKHKHJCJ	(4) full house
jjSKHKHJDA	(6) 3 cards
jjSKHKHJDK	(6) 3 cards
jjSKHKHJDQ	(6) 3 cards
jjSKHKHJDJ	(4) full house
jjSKHKCACK	(6) 3 cards
jjSKHKCACQ	(6) 3 cards
jjSKHKCACJ	(6) 3 cards
jjSKHKCADA	(4) full house
jjSKHKCADK	(6) 3 cards
jjSKHKCADQ	(6) 3 cards
jjSKHKCADJ	(6) 3 cards
jjSKHKCKCQ	(6) 3 cards
jjSKHKCKCJ	(6) 3 cards
jjSKHKCKDA	(6) 3 cards
jjSKHKCKDK	(1) 5 cards!
jjSKHKCKDQ	(6) 3 cards
jjSKHKCKDJ	(6) 3 cards
jjSKHKCQCJ	(6) 3 cards
jjSKHKCQDA	(6) 3 cards
jjSKHKCQDK	(6) 3 cards
jjSKHKCQDQ	(4) full house
jjSKHKCQDJ	(6) 3 cards
jjSKHKCJDA	(6) 3 cards
jjSKHKCJDK	(6) 3 cards
jjSKHKCJDQ	(6) 3 cards
jjSKHKCJDJ	(4) full house
jjSKHKDADK	(6) 3 cards
jjSKHKDADQ	(6) 3 cards
jjSKHKDADJ	(6) 3 cards
jjSKHKDKDQ	(6) 3 cards
jjSKHKDKDJ	(6) 3 cards
jjSKHKDQDJ	(6) 3 cards
jjSKHQHJCA	(5) straight!
jjSKHQHJCK	(6) 3 cards
jjSKHQHJCQ	(6) 3 cards
jjSKHQHJCJ	(6) 3 cards
jjSKHQHJDA	(5) straight!
jjSKHQHJDK	(6) 3 cards
jjSKHQHJDQ	(6) 3 cards
jjSKHQHJDJ	(6) 3 cards
jjSKHQCACK	(6) 3 cards
jjSKHQCACQ	(6) 3 cards
jjSKHQCACJ	(5) straight!
jjSKHQCADA	(6) 3 cards
jjSKHQCADK	(6) 3 cards
jjSKHQCADQ	(6) 3 cards
jjSKHQCADJ	(5) straight!
jjSKHQCKCQ	(4) full house
jjSKHQCKCJ	(6) 3 cards
jjSKHQCKDA	(6) 3 cards
jjSKHQCKDK	(6) 3 cards
jjSKHQCKDQ	(4) full house
jjSKHQCKDJ	(6) 3 cards
jjSKHQCQCJ	(6) 3 cards
jjSKHQCQDA	(6) 3 cards
jjSKHQCQDK	(4) full house
jjSKHQCQDQ	(6) 3 cards
jjSKHQCQDJ	(6) 3 cards
jjSKHQCJDA	(5) straight!
