A140	¡@
A3B2	£²
A3B3	£³
A3B4	£´
A3B5	£µ
A3B6	£¶
A3B7	£·
A3B8	£¸
A3B9	£¹
A3BA	£º
A3BB	£»
A3BC	£¼
A3BD	£½
A3BE	£¾
A3BF	£¿
A3E1	£á
F9D6	ùÖ
F9D7	ù×
F9D8	ùØ
F9D9	ùÙ
F9DA	ùÚ
F9DB	ùÛ
F9DC	ùÜ
F9DD	ùÝ
F9DE	ùÞ
F9DF	ùß
F9E0	ùà
F9E1	ùá
F9E2	ùâ
F9E3	ùã
F9E4	ùä
F9E5	ùå
F9E6	ùæ
F9E7	ùç
F9E8	ùè
F9E9	ùé
F9EA	ùê
F9EB	ùë
F9EC	ùì
F9ED	ùí
F9EE	ùî
F9EF	ùï
F9F0	ùð
F9F1	ùñ
F9F2	ùò
F9F3	ùó
F9F4	ùô
F9F5	ùõ
F9F6	ùö
F9F7	ù÷
F9F8	ùø
F9F9	ùù
F9FA	ùú
F9FB	ùû
F9FC	ùü
F9FD	ùý
F9FE	ùþ
